t,fps,worst_ms,draw_calls,mesh_blocks,data_blocks,q_total,q_mesh,q_gen,dropped_mesh,blocked_lod,vmem_mb
0.50,28.0,143.2,71,132,58320,29929,29930,0,0,30077,55.2
1.00,28.0,14.2,177,388,59744,27629,27634,0,0,27753,85.9
1.50,118.0,8.7,223,659,61624,25958,25964,0,0,25716,89.9
2.01,118.0,9.7,255,1009,65608,26001,26007,0,0,24971,98.6
2.51,124.0,9.7,254,1293,68896,25802,25803,0,0,24498,100.0
3.02,124.0,7.0,254,1389,72808,25646,25649,0,0,24483,100.0
3.52,144.0,8.8,471,1460,73576,26283,26324,0,0,25528,109.0
4.02,144.0,9.3,515,1512,75024,25537,25537,0,0,24382,110.5
4.53,123.0,8.3,539,1602,77864,26623,26624,0,0,24515,112.8
5.03,123.0,8.3,532,1737,79260,26784,26786,0,0,24545,116.3
5.53,121.0,11.2,480,1913,81620,26911,26911,0,0,23791,119.2
6.04,121.0,9.0,455,2198,85036,28222,28223,0,0,23997,121.0
6.54,124.0,8.3,452,2396,92932,32438,32438,0,0,24540,131.9
7.04,124.0,13.8,356,2757,93250,31257,31257,0,0,24185,140.8
7.55,110.0,11.2,355,2697,89600,29926,29928,0,15,23961,144.1
8.05,110.0,8.3,355,2120,83525,28921,28923,0,1,23922,138.9
8.56,126.0,8.3,351,1878,80296,28166,28169,0,4,23862,130.2
9.06,126.0,8.0,379,1699,79348,27858,27860,0,0,23131,117.3
9.56,135.0,7.6,381,1587,77340,27035,27036,0,4,23059,112.8
10.06,135.0,9.2,470,1893,79961,26530,26530,0,0,22424,116.5
10.57,136.0,8.4,551,2110,80825,25666,25668,0,0,21747,120.7
11.07,136.0,7.8,484,2244,81257,24067,24070,0,1,20415,119.9
11.57,143.0,8.2,527,2523,83981,22135,22136,0,0,18676,120.7
12.08,143.0,8.6,625,2711,86685,20977,20980,0,0,17628,122.2
12.58,145.0,6.9,647,2822,90149,20328,20328,0,0,17014,124.8
13.08,145.0,8.0,926,2971,91382,20128,20129,0,0,16934,128.4
13.59,142.0,6.9,1052,3157,94472,19698,19706,0,0,16599,133.2
14.09,142.0,7.3,1177,3384,96540,18828,18828,0,0,15904,137.9
14.59,144.0,9.0,1292,3629,101430,18084,18086,0,0,15407,141.9
15.09,144.0,10.2,1406,3831,105960,18490,18490,0,0,15531,148.3
15.59,136.0,8.3,1406,4085,111453,18080,18081,0,0,15297,148.3
16.09,136.0,10.6,1594,4326,114236,18567,18568,0,0,15122,158.9
16.60,139.0,7.4,1594,4536,120036,21111,21111,0,0,15484,158.9
17.10,139.0,10.5,1409,4605,125772,25329,25332,0,0,15974,164.4
17.61,115.0,12.3,1266,4788,128760,26112,26112,0,0,15882,170.2
18.12,115.0,14.1,1165,4841,133900,30283,30288,0,0,16339,172.6
18.62,92.0,13.9,1120,4887,130001,29862,29869,0,26,16070,178.4
19.12,92.0,11.1,1080,4684,127200,29036,29042,0,0,15936,177.5
19.62,96.0,11.7,1130,4679,125528,28593,28608,0,47,15784,175.9
20.13,96.0,10.6,1201,4685,121082,27505,27508,0,23,15581,175.6
20.63,100.0,10.0,1228,4531,118878,26855,26858,0,17,15499,173.4
21.13,100.0,9.5,1300,4525,119804,26541,26545,0,0,15481,171.9
21.64,106.0,9.5,1377,4465,119656,26035,26048,0,12,15461,171.8
22.14,106.0,12.1,1478,4370,121200,27014,27048,0,0,16507,172.5
22.65,97.0,11.2,1573,4512,123980,27134,27149,0,0,16181,174.7
23.15,97.0,11.6,1588,4615,129668,29811,29812,0,0,16535,174.6
23.66,101.0,12.1,1618,4807,137580,32684,32684,0,0,16895,176.8
