t,fps,worst_ms,draw_calls,mesh_blocks,data_blocks,q_total,q_mesh,q_gen,dropped_mesh,blocked_lod,vmem_mb
0.50,25.0,133.3,34,86,58320,30348,30348,0,0,30360,55.2
1.01,25.0,9.1,217,509,60000,26523,26524,0,0,26617,86.2
1.52,118.0,8.3,216,612,62448,25739,25741,0,0,25855,88.5
2.02,118.0,8.6,261,848,65416,24675,24676,0,0,23806,91.8
2.52,119.0,8.9,336,1086,70272,23641,23646,0,0,22690,94.5
3.02,119.0,9.1,369,1283,74520,22162,22162,0,0,21320,96.1
3.52,134.0,8.1,369,1403,78460,22284,22295,0,0,21405,96.1
4.03,134.0,7.1,440,1430,80076,21526,21527,0,0,20463,98.7
4.53,145.0,6.9,440,1418,81896,21718,21719,0,0,20490,98.5
5.04,145.0,7.0,440,1460,83476,21829,21831,0,0,20497,98.5
5.54,144.0,6.9,461,1441,85264,21848,21849,0,0,20107,99.3
6.04,144.0,6.9,532,1598,87524,21232,21233,0,0,19044,99.5
6.55,146.0,7.1,577,1839,90000,20160,20162,0,2,18000,102.9
7.05,146.0,6.9,673,2155,94868,18884,18884,0,0,16770,107.1
7.56,144.0,7.6,681,2365,96804,17761,17790,0,2,15791,111.1
8.06,144.0,6.9,696,2496,108108,18018,18034,0,0,15457,111.8
8.56,144.0,8.0,694,2688,108968,17335,17336,0,0,15276,117.0
9.07,144.0,10.9,737,2941,110946,17185,17186,0,0,14797,124.7
9.57,140.0,9.5,790,3096,108001,17433,17441,0,0,15281,125.6
10.07,140.0,8.2,855,3272,110123,15496,15496,0,6,13387,128.1
10.58,143.0,7.1,960,3449,112181,15202,15204,0,0,12881,130.5
11.08,143.0,7.1,846,3533,112281,14773,14781,0,1,12757,131.0
11.58,144.0,7.2,901,3739,116127,14047,14047,0,0,12141,135.4
12.08,144.0,9.5,1003,4041,118803,13931,13933,0,0,11822,138.1
12.59,141.0,13.5,968,4225,120235,13691,13691,0,0,11795,146.6
13.09,141.0,10.2,1249,4309,123754,13720,13727,0,0,11765,148.1
13.59,112.0,12.7,1316,4474,130996,13357,13364,0,0,11407,151.4
14.10,112.0,12.9,1330,4546,140578,13368,13390,0,0,11434,153.2
14.60,115.0,12.5,1289,4602,155788,16787,16790,0,0,11862,155.2
15.10,115.0,13.7,1215,4473,163822,18795,18827,0,0,12497,155.4
15.61,91.0,13.0,1174,4457,165583,18405,18410,0,0,12241,154.1
16.11,91.0,12.6,1101,4493,158834,15490,15498,0,55,11929,154.7
16.62,111.0,9.1,1100,4537,149012,13884,13890,0,0,11872,156.7
17.13,111.0,12.2,1095,4582,139579,13418,13430,0,0,11739,157.4
17.63,110.0,9.1,1096,4497,132208,13454,13456,0,0,11592,155.7
18.13,110.0,9.3,1105,4472,129720,13983,13996,0,0,11691,155.6
18.64,113.0,10.8,1169,4313,126824,14438,14443,0,0,12233,155.5
19.14,113.0,9.2,1188,4307,127382,14765,14779,0,0,12296,155.4
19.64,109.0,10.9,1240,4372,128962,15491,15516,0,0,12391,156.5
20.14,109.0,10.6,1317,4405,128926,15146,15146,0,5,12314,157.1
20.65,103.0,9.7,1340,4412,130082,15053,15112,0,0,12393,157.5
21.15,103.0,10.0,1385,4512,132910,15054,15054,0,0,12371,159.2
21.66,101.0,11.3,1433,4602,138222,15118,15171,0,0,12400,161.9
22.16,101.0,14.6,1493,4555,152432,20933,20996,0,0,14253,165.7
22.66,85.0,13.3,1526,4670,157848,23084,23100,0,0,14260,167.5
23.17,85.0,13.4,1500,4765,154696,25075,25089,0,0,14153,169.3
23.68,76.0,14.0,1543,4922,160182,26250,26258,0,0,14335,173.3
