t,fps,worst_ms,draw_calls,mesh_blocks,data_blocks,q_total,q_mesh,q_gen,dropped_mesh,blocked_lod,vmem_mb
0.51,14.0,146.8,89,128,58320,29963,29979,0,0,30038,52.2
1.01,14.0,10.4,130,273,60256,27443,27501,0,0,27583,85.1
1.51,114.0,8.5,234,492,61512,25405,25407,0,0,25440,86.2
2.01,114.0,10.9,263,683,66024,25546,25551,0,0,24276,89.7
2.52,119.0,10.1,261,881,67800,25231,25232,0,0,24228,94.9
3.03,119.0,8.3,317,1153,69720,24149,24153,0,0,23249,99.5
3.53,121.0,8.6,353,1387,78364,23637,23667,0,0,22817,103.2
4.03,121.0,8.3,374,1470,81012,22503,22505,0,0,21419,103.7
4.54,120.0,8.3,374,1467,82700,22417,22420,0,0,21410,103.7
5.04,120.0,8.3,372,1490,84032,22507,22509,0,0,21425,104.0
5.54,120.0,8.3,394,1516,86184,22560,22563,0,0,20725,104.3
6.04,120.0,8.3,484,1848,89788,21513,21516,0,0,19287,108.8
6.55,118.0,10.9,587,2284,93956,21468,21469,0,0,18874,119.1
7.05,118.0,8.3,574,2421,94908,21309,21313,0,0,18853,122.2
7.56,120.0,8.3,633,2778,97272,20523,20525,0,0,18179,129.8
8.06,120.0,9.1,680,2957,97973,19693,19698,0,3,17492,132.6
8.56,119.0,14.7,717,3160,101292,19029,19029,0,0,16803,134.3
9.06,119.0,8.4,761,3251,105532,19236,19236,0,0,16253,135.8
9.57,135.0,7.5,757,3347,105501,19761,19774,0,0,17075,136.1
10.07,135.0,7.5,772,3441,106429,17946,17955,0,1,15326,139.1
10.58,140.0,11.6,866,3615,108209,17625,17628,0,0,15000,142.0
11.08,140.0,7.1,776,3759,108957,16652,16656,0,4,14114,141.3
11.58,143.0,7.0,792,3830,112929,15917,15919,0,0,13481,141.7
12.09,143.0,7.2,824,3915,114587,15276,15278,0,11,13113,142.1
12.59,145.0,7.8,857,4132,116467,14781,14786,0,0,12651,144.2
13.10,145.0,11.3,1090,4273,118486,14577,14578,0,3,12586,148.3
13.60,135.0,8.4,1324,4469,120600,13422,13423,0,21,11654,151.7
14.10,135.0,10.1,1380,4716,123494,12972,12972,0,0,11092,155.6
14.61,139.0,8.7,1380,5025,127778,13146,13146,0,0,11089,155.6
15.12,139.0,13.0,1613,5282,129542,13184,13187,0,0,11396,172.0
15.62,122.0,11.1,1597,5441,132797,12936,12936,0,0,11163,172.5
16.12,122.0,9.6,1683,5698,134124,12262,12262,0,0,10540,179.1
16.62,132.0,9.1,1668,5873,136534,13220,13224,0,0,10612,185.3
17.13,132.0,12.8,1607,5975,141014,15990,15998,0,0,10946,187.3
17.63,113.0,12.5,1507,5984,141980,17116,17117,0,0,10995,187.9
18.13,113.0,13.9,1442,6041,147528,21491,21503,0,0,11479,189.7
18.64,99.0,12.3,1385,5961,143126,21723,21738,0,15,11748,191.8
19.15,99.0,11.1,1344,5956,143076,21735,21736,0,2,11794,191.9
19.66,91.0,11.1,1383,5964,142430,22256,22283,0,6,11762,192.3
20.17,91.0,11.1,1457,5981,139688,21335,21343,0,8,11487,192.5
20.67,91.0,10.9,1487,5921,138652,21094,21114,0,0,11597,191.8
21.18,91.0,11.8,1526,5904,139052,21043,21058,0,1,11593,192.6
21.69,100.0,12.4,1622,6019,141106,20725,20782,0,0,11581,194.5
22.19,100.0,12.9,1655,5883,142572,21933,21978,0,19,12441,195.7
22.69,88.0,12.5,1696,5987,147124,22332,22332,0,0,12519,195.8
23.21,88.0,14.3,1673,6044,154748,25880,25880,0,0,12992,196.7
23.71,89.0,15.0,1698,6221,164304,28553,28616,0,0,13296,200.5
