t,fps,worst_ms,draw_calls,mesh_blocks,data_blocks,q_total,q_mesh,q_gen,dropped_mesh,blocked_lod,vmem_mb
0.50,1.0,133.3,37,47,69312,4161,4161,0,0,4161,55.1
1.00,1.0,9.2,103,168,74512,4002,4007,0,1,3798,85.6
1.51,113.0,16.1,124,256,75424,3533,3537,0,0,3318,86.6
2.01,49.0,147.2,208,538,82432,2748,2768,0,0,2440,95.5
2.51,80.0,7.2,208,665,85168,2603,2612,0,0,2418,95.5
3.02,80.0,6.9,208,719,87296,2481,2481,0,0,2313,95.5
3.52,145.0,6.9,296,781,92224,2571,2591,0,0,2286,122.0
4.03,145.0,6.9,296,833,96824,2698,2698,0,0,2181,122.0
4.53,145.0,6.9,296,876,98528,2659,2662,0,0,2176,122.0
5.03,145.0,6.9,296,915,100616,2610,2610,0,0,2175,122.0
5.54,145.0,6.9,296,990,103404,2631,2632,0,0,2179,122.0
6.04,145.0,6.9,296,1067,106168,2600,2608,0,0,2174,122.0
6.55,145.0,7.1,296,1156,112476,2733,2735,0,0,2200,122.0
7.05,145.0,6.9,296,1223,120480,3039,3044,0,0,2243,122.0
7.55,145.0,6.9,296,1301,127716,2912,2922,0,0,2232,122.0
8.06,145.0,7.1,296,1393,140728,3583,3592,0,0,2333,122.0
8.56,145.0,6.9,323,1420,146680,4258,4258,0,0,2386,185.6
9.06,145.0,6.9,335,1457,143524,4238,4239,0,0,2344,188.4
9.57,145.0,6.9,335,1498,141256,4358,4360,0,0,2307,189.4
10.07,145.0,6.9,328,1532,141862,4269,4284,0,15,2288,195.4
10.57,145.0,6.9,399,1547,145978,4275,4276,0,0,2298,197.2
11.08,145.0,6.9,416,1598,154398,4904,4908,0,0,2470,203.0
11.58,145.0,6.9,392,1620,161686,4710,4722,0,0,2438,203.1
12.08,145.0,6.9,418,1673,168414,4988,4989,0,0,2485,205.7
12.59,145.0,6.9,421,1724,170518,5317,5317,0,0,2502,214.0
13.09,145.0,6.9,480,1678,173368,6122,6134,0,0,2543,210.8
13.59,145.0,6.9,474,1722,168648,6006,6014,0,0,2488,215.2
14.10,145.0,6.9,484,1695,164894,6098,6114,0,0,2461,213.2
14.60,145.0,6.9,455,1723,160480,5963,5978,0,0,2423,212.2
15.10,145.0,6.9,376,1724,151032,5761,5765,0,9,2378,212.3
15.61,144.0,6.9,311,1689,142762,5271,5280,0,13,2358,209.2
16.11,144.0,6.9,300,1727,140294,5151,5151,0,0,2357,211.9
16.61,145.0,6.9,303,1675,139130,5151,5151,0,0,2360,213.9
17.12,145.0,6.9,298,1659,140286,5222,5222,0,0,2370,211.3
17.62,145.0,6.9,297,1534,138378,5480,5482,0,0,2496,204.6
18.12,145.0,6.9,287,1475,142168,6021,6021,0,0,2567,197.8
18.63,145.0,6.9,244,1415,133462,5701,5701,0,0,2493,192.6
19.13,145.0,6.9,222,1378,130002,5646,5647,0,0,2488,190.2
19.63,145.0,6.9,216,1345,127258,5567,5576,0,6,2484,188.1
20.14,145.0,6.9,209,1243,120508,5381,5387,0,3,2462,179.2
20.65,145.0,6.9,220,1183,116854,5337,5338,0,3,2364,172.9
21.15,145.0,6.9,218,1140,115802,5129,5131,0,2,2359,168.0
21.66,145.0,6.9,216,1098,113156,4903,4905,0,0,2355,163.8
22.16,145.0,6.9,210,1042,110924,4667,4670,0,0,2347,159.2
22.66,145.0,6.9,207,1032,110352,4512,4512,0,0,2348,156.9
23.17,145.0,6.9,199,999,110396,4404,4404,0,3,2352,153.5
23.67,145.0,6.9,197,994,110056,4217,4218,0,0,2350,152.7
