t,fps,worst_ms,draw_calls,mesh_blocks,data_blocks,q_total,q_mesh,q_gen,dropped_mesh,blocked_lod,vmem_mb
0.50,1.0,148.7,32,42,69312,4156,4160,0,0,4160,55.1
1.00,54.0,9.8,84,120,73336,3927,3928,0,0,3714,82.4
1.50,54.0,8.3,156,266,74560,3377,3377,0,0,3165,86.1
2.00,120.0,8.3,180,370,81976,3218,3218,0,0,2956,90.0
2.50,120.0,8.3,197,468,87904,2953,2957,0,1,2806,97.3
3.00,120.0,8.3,222,631,101832,3151,3164,0,0,2788,112.4
3.50,120.0,8.3,227,753,115280,3575,3613,0,0,2863,123.6
4.00,120.0,8.3,238,822,116408,3293,3297,0,0,2643,127.5
4.50,120.0,8.3,239,851,119682,3379,3395,0,0,2658,129.9
5.00,120.0,8.3,242,842,124338,3310,3330,0,0,2653,128.8
5.50,120.0,8.3,217,873,132080,3363,3383,0,0,2661,129.8
6.00,120.0,8.3,209,928,134702,3250,3273,0,0,2640,134.0
6.50,120.0,8.3,215,922,133300,3255,3277,0,0,2638,132.5
7.00,120.0,8.3,216,911,132308,3090,3093,0,0,2606,134.8
7.50,120.0,8.3,255,936,128402,2982,2993,0,0,2457,134.4
8.00,120.0,8.3,278,982,119648,2488,2499,0,1,2137,132.8
8.50,120.0,8.3,293,1040,114020,2269,2272,0,0,1936,135.6
9.00,120.0,8.3,356,1139,116192,2065,2085,0,0,1745,145.3
9.50,120.0,8.3,374,1179,115700,1927,1942,0,0,1622,146.0
10.00,120.0,8.3,380,1180,122184,1833,1833,0,0,1542,144.7
10.50,120.0,8.3,411,1236,123132,1706,1712,0,0,1419,147.5
11.00,120.0,8.3,358,1225,126622,1824,1846,0,0,1488,145.8
11.50,120.0,8.3,342,1299,130080,1617,1623,0,0,1267,147.6
12.00,120.0,8.3,318,1315,132874,1604,1606,0,0,1241,149.5
12.50,120.0,8.3,272,1348,135098,1622,1625,0,0,1247,152.0
13.00,120.0,8.3,347,1325,137505,1796,1796,0,0,1350,153.6
13.50,120.0,8.3,374,1353,141833,1648,1661,0,0,1260,155.7
14.00,120.0,8.3,409,1398,150158,1659,1683,0,0,1253,159.8
14.50,120.0,8.3,444,1419,170503,2380,2399,0,0,1350,161.7
15.00,120.0,8.3,464,1427,181482,2592,2592,0,0,1370,162.7
15.50,120.0,8.3,482,1467,189877,2717,2718,0,0,1368,165.9
16.00,120.0,8.3,468,1485,193951,3157,3157,0,0,1398,168.0
16.50,120.0,8.3,474,1560,195746,3777,3777,0,0,1457,176.4
17.00,120.0,8.3,435,1563,193391,4472,4480,0,0,1507,176.6
17.50,120.0,8.3,417,1599,194743,5008,5012,0,0,1732,184.1
18.00,120.0,8.3,375,1616,188850,5508,5516,0,0,1761,185.7
18.50,120.0,8.3,380,1652,192644,6022,6022,0,0,1766,190.4
19.00,120.0,8.3,386,1666,194387,6000,6000,0,0,1717,193.2
19.50,120.0,8.3,369,1717,193467,6310,6325,0,0,1738,197.8
20.00,120.0,8.3,334,1739,194477,6756,6774,0,0,1737,200.3
20.50,120.0,8.3,337,1673,193225,7382,7404,0,0,1966,199.1
21.00,120.0,8.3,325,1710,193710,7194,7194,0,0,1909,201.7
21.50,120.0,8.3,338,1744,191096,7041,7044,0,0,1881,203.9
22.00,120.0,8.3,335,1756,192146,6914,6914,0,0,1861,203.2
22.51,120.0,23.1,286,1728,184739,6131,6144,0,29,1826,201.1
23.02,118.0,8.3,252,1737,175836,5901,5906,0,0,1821,201.0
23.53,118.0,8.3,239,1692,168996,5543,5553,0,15,1799,197.6
