t,fps,worst_ms,draw_calls,mesh_blocks,data_blocks,q_total,q_mesh,q_gen,dropped_mesh,blocked_lod,vmem_mb
0.51,44.0,148.1,38,56,69312,4145,4145,0,0,4152,55.1
1.01,44.0,14.7,105,149,73408,4006,4008,0,0,3828,83.8
1.52,96.0,149.6,199,405,79912,3185,3185,0,0,2721,93.7
2.02,24.0,7.2,199,452,81328,3049,3054,0,0,2709,93.7
2.52,24.0,7.9,199,552,86600,2893,2893,0,0,2687,93.7
3.03,145.0,6.9,199,657,98840,3031,3032,0,0,2680,93.7
3.53,145.0,6.9,213,730,104264,3214,3242,0,0,2734,126.9
4.04,145.0,6.9,213,754,104840,3147,3147,0,0,2565,126.9
4.54,145.0,6.9,213,767,103764,3023,3029,0,0,2553,128.6
5.04,145.0,7.0,213,817,104704,3007,3015,0,0,2550,132.6
5.55,145.0,7.5,215,878,121916,3595,3595,0,0,2632,141.9
6.05,144.0,6.9,212,888,130316,3406,3412,0,0,2608,139.7
6.55,144.0,7.0,208,992,130458,3277,3288,0,0,2572,146.1
7.06,145.0,6.9,207,1038,128890,2984,3002,0,0,2548,153.9
7.56,145.0,6.9,233,1024,131912,3104,3121,0,0,2480,149.8
8.07,145.0,6.9,234,936,138248,2936,2949,0,0,2471,144.2
8.57,145.0,6.9,240,937,127566,2713,2714,0,0,2317,139.6
9.07,145.0,6.9,255,929,125454,2613,2613,0,0,2213,137.0
9.58,145.0,6.9,256,916,119842,2642,2643,0,0,2217,135.3
10.08,145.0,6.9,278,907,118686,2465,2473,0,1,2110,131.4
10.58,145.0,6.9,301,961,119224,2344,2344,0,0,1990,133.0
11.09,145.0,6.9,266,952,121640,2378,2378,0,0,1860,132.4
11.59,145.0,6.9,258,987,125660,2425,2441,0,0,1827,133.4
12.09,145.0,6.9,258,987,126109,2391,2392,0,0,1821,133.4
12.60,145.0,6.9,258,1054,128860,2305,2316,0,0,1784,133.4
13.10,145.0,6.9,222,1071,132413,2442,2444,0,0,1786,137.8
13.60,145.0,6.9,240,1109,138318,2392,2392,0,0,1733,138.3
14.11,145.0,6.9,282,1172,148440,2201,2219,0,0,1612,138.9
14.61,145.0,6.9,282,1194,166621,2495,2509,0,0,1650,138.9
15.11,145.0,6.9,282,1194,177910,2399,2416,0,0,1635,138.9
15.62,145.0,6.9,282,1210,187577,2554,2570,0,0,1660,138.9
16.12,145.0,6.9,342,1235,189192,2507,2523,0,0,1650,141.8
16.62,145.0,6.9,361,1270,187658,2564,2564,0,0,1643,147.8
17.13,145.0,6.9,358,1323,184869,2207,2223,0,0,1603,147.0
17.63,145.0,6.9,389,1353,184661,2579,2595,0,0,1857,157.4
18.13,145.0,6.9,389,1422,177708,2551,2553,0,0,1759,157.4
18.64,145.0,6.9,371,1461,190027,4058,4071,0,0,1965,165.1
19.14,145.0,6.9,388,1533,190381,4635,4636,0,0,2002,174.3
19.65,144.0,6.9,388,1621,191230,5368,5379,0,0,2026,174.3
20.15,144.0,6.9,396,1646,191228,6302,6302,0,0,2036,186.1
20.66,145.0,6.9,353,1646,187682,6515,6526,0,0,2055,190.7
21.16,145.0,6.9,373,1726,182334,6314,6314,0,0,2019,199.5
21.66,145.0,6.9,332,1706,179120,5857,5872,0,12,1988,196.9
22.17,145.0,6.9,288,1663,181340,5530,5533,0,0,1976,191.4
22.67,145.0,6.9,259,1663,181781,4990,5002,0,0,1961,192.0
23.17,145.0,6.9,251,1612,180231,5144,5148,0,0,1971,187.7
23.68,145.0,6.9,222,1564,175720,4606,4610,0,1,1940,184.5
