t,fps,worst_ms,draw_calls,mesh_blocks,data_blocks,q_total,q_mesh,q_gen,dropped_mesh,blocked_lod,vmem_mb
0.50,35.0,133.3,0,151,20728,4616,4689,0,0,4655,58.7
1.01,35.0,15.7,10,526,45800,9967,10056,0,0,5048,95.9
1.53,117.0,135.6,10,709,48180,1199,1340,0,0,4562,100.6
2.03,1.0,16.7,189,979,65860,10746,10813,0,0,2406,106.4
2.54,141.0,6.9,201,1023,69388,6890,6895,0,0,1956,106.7
3.05,141.0,6.9,238,1073,70654,6749,6756,0,0,1930,108.8
3.55,144.0,6.9,337,1418,69120,6619,6630,0,0,1950,109.5
4.06,144.0,6.9,393,1558,70024,6913,6919,0,0,1934,111.4
4.56,145.0,6.9,475,1604,71208,7171,7195,0,0,1974,113.1
5.06,145.0,6.9,482,1701,72470,7299,7305,0,0,1984,115.0
5.57,145.0,6.9,409,1758,74590,7529,7551,0,0,2317,119.0
6.07,145.0,6.9,435,2057,76200,7955,7961,0,0,2211,121.1
6.57,145.0,6.9,409,2233,82688,12074,12117,0,0,2735,128.7
7.08,145.0,7.0,345,2573,82596,10984,10998,0,0,2397,138.5
7.58,145.0,6.9,351,2479,79544,9683,9698,0,15,2207,138.8
8.09,145.0,6.9,365,2011,72689,9189,9191,0,0,2174,134.3
8.59,145.0,6.9,369,1840,71036,8864,8873,0,0,2110,127.6
9.09,145.0,6.9,401,1675,70142,8593,8600,0,0,2047,122.0
9.60,145.0,6.9,395,1671,68517,8605,8620,0,0,2035,120.5
10.10,145.0,6.9,354,1679,69137,8128,8147,0,3,2003,120.5
10.60,145.0,6.9,250,1662,69545,7744,7759,0,0,1984,119.7
11.11,145.0,6.9,211,1665,69805,7320,7344,0,0,1952,118.8
11.61,145.0,6.9,227,1795,71085,6766,6790,0,0,1917,119.0
12.11,145.0,6.9,274,1900,71109,5709,5760,0,0,1889,123.0
12.62,145.0,6.9,308,2041,72019,5110,5148,0,0,2039,125.6
13.12,145.0,6.9,349,2147,73628,4482,4504,0,0,1754,125.8
13.62,145.0,6.9,578,2314,74792,3912,3928,0,0,1734,129.8
14.13,145.0,6.9,578,2503,76616,3641,3656,0,0,1738,129.8
14.63,145.0,6.9,578,2692,78680,3411,3426,0,1,1723,129.8
15.13,145.0,6.9,720,2773,80332,3743,3760,0,0,2024,139.3
15.64,145.0,6.9,748,2914,83917,3278,3297,0,0,1984,141.1
16.14,145.0,6.9,796,3137,88154,3844,3860,0,0,2071,148.7
16.64,145.0,6.9,658,3256,96206,6817,6825,0,0,2504,153.1
17.15,145.0,6.9,658,3406,105668,11114,11122,0,0,3010,153.1
17.65,144.0,6.9,506,3496,112520,13303,13310,0,0,3043,159.4
18.16,144.0,6.9,468,3575,112394,15715,15751,0,0,3020,162.1
18.66,142.0,12.9,522,3625,122482,21290,21304,0,0,3304,164.7
19.17,142.0,9.7,583,3674,125866,21397,21412,0,0,3037,165.6
19.67,115.0,9.6,390,3706,125622,23720,23737,0,0,2924,166.8
20.17,115.0,8.3,294,3569,122441,25312,25341,0,0,2629,163.5
20.68,134.0,7.1,262,3241,115126,22011,22046,0,13,2161,164.0
21.18,134.0,6.9,252,3057,103968,18434,18484,0,70,2101,161.3
21.69,145.0,6.9,264,2950,103353,15388,15404,0,27,2088,158.2
22.19,145.0,6.9,263,2834,110924,17763,17788,0,0,2613,157.5
22.70,145.0,6.9,245,2799,111251,13199,13228,0,38,2290,155.7
23.20,145.0,6.9,260,2812,101868,9877,9889,0,8,2235,156.0
23.70,145.0,6.9,264,2749,100940,8446,8447,0,8,2235,154.8
