t,fps,worst_ms,draw_calls,mesh_blocks,data_blocks,q_total,q_mesh,q_gen,dropped_mesh,blocked_lod,vmem_mb
0.50,30.0,150.0,0,149,20336,4900,5046,0,0,4751,58.7
1.00,30.0,9.0,10,217,34072,4780,4899,0,0,4309,87.1
1.50,119.0,8.3,28,554,48384,6126,6246,0,0,4438,94.9
2.00,119.0,12.9,64,600,58064,4131,4241,0,0,3390,95.1
2.50,119.0,9.1,91,706,62392,3672,3680,0,0,3179,97.9
3.01,51.0,146.0,123,1071,68864,1662,1713,0,32,2275,111.6
3.51,51.0,16.7,288,1330,69250,7038,7090,0,0,1878,112.4
4.01,79.0,7.2,357,1561,68934,6646,6662,0,0,1643,111.8
4.51,79.0,6.9,380,1614,68406,6226,6267,0,0,1603,111.5
5.02,145.0,6.9,392,1757,69106,5929,5934,0,0,1581,114.6
5.52,145.0,6.9,419,1842,70282,5249,5283,0,0,1550,117.9
6.03,145.0,6.9,445,1976,70704,4963,4979,0,0,1481,121.2
6.53,145.0,6.9,442,2059,69624,4643,4654,0,0,1464,122.2
7.03,145.0,6.9,454,2164,69868,3963,3965,0,0,1435,124.2
7.54,145.0,6.9,462,2366,71304,3235,3253,0,0,1389,126.2
8.04,145.0,6.9,523,2718,75258,4778,4786,0,0,1583,133.9
8.55,145.0,6.9,600,2839,75512,5115,5122,0,0,1615,143.1
9.05,145.0,7.0,642,2904,80302,5630,5688,0,0,1768,146.3
9.55,145.0,6.9,662,2978,83782,6411,6411,0,0,1867,146.2
10.06,145.0,6.9,702,3153,86175,5583,5588,0,0,1766,149.2
10.56,144.0,6.9,771,3271,92161,7861,7884,0,0,2021,151.1
11.06,144.0,6.9,843,3378,103211,13889,13891,0,0,2721,153.0
11.57,139.0,11.8,589,3444,115495,15605,15624,0,0,2582,155.2
12.07,139.0,8.3,565,3597,119335,19059,19061,0,0,2802,155.2
12.57,141.0,8.3,552,3706,121525,22572,22573,0,0,2751,161.2
13.08,141.0,13.4,553,3831,114284,21415,21436,0,0,2094,166.1
13.58,135.0,7.4,507,3564,101700,18004,18030,0,58,1934,164.2
14.09,135.0,6.9,542,3312,91045,15109,15127,0,10,1866,160.6
14.60,145.0,6.9,489,3302,87844,11743,11788,0,50,1824,157.2
15.10,145.0,6.9,428,3202,83836,8884,8927,0,33,1808,155.7
15.60,145.0,6.9,402,3086,82212,6461,6511,0,11,1785,154.2
16.11,145.0,6.9,370,3173,80536,4760,4782,0,7,1738,156.2
16.61,145.0,6.9,340,3318,79668,4250,4277,0,0,1741,160.3
17.11,145.0,6.9,325,3350,79650,4001,4005,0,0,1712,158.6
17.62,144.0,6.9,315,3458,78948,3834,3840,0,1,1677,159.0
18.12,144.0,6.9,327,3383,77600,3653,3665,0,0,1683,158.5
18.62,145.0,6.9,373,3340,77842,3285,3304,0,0,1750,158.6
19.13,145.0,6.9,519,3555,88538,7161,7168,0,0,2232,162.5
19.64,145.0,6.9,470,3586,89536,7309,7332,0,0,2207,163.1
20.14,145.0,6.9,538,3640,90894,6405,6437,0,2,2162,164.6
20.65,145.0,6.9,593,3298,98886,7426,7470,0,0,2063,163.3
21.15,145.0,6.9,631,3362,98422,6304,6336,0,0,1920,162.5
21.65,145.0,6.9,734,3451,101906,6923,6931,0,0,1964,164.0
22.15,145.0,12.3,810,3422,114188,11468,11497,0,0,2933,166.2
22.66,135.0,9.5,834,3525,120368,13916,13931,0,0,2984,166.6
23.16,135.0,8.3,801,3598,118164,17211,17211,0,0,2975,168.0
23.67,142.0,8.3,829,3717,126522,21076,21076,0,0,3476,170.9
