t,fps,worst_ms,draw_calls,mesh_blocks,data_blocks,q_total,q_mesh,q_gen,dropped_mesh,blocked_lod,vmem_mb
0.53,1.0,148.2,0,48,356048,284895,285473,0,0,287496,51.2
1.07,5.0,100.0,109,193,356048,268100,268138,0,0,271235,78.2
1.65,5.0,84.4,211,381,356048,258930,258937,0,0,259923,78.3
2.23,12.0,83.3,327,539,360672,247094,247173,0,44,245127,78.4
2.79,12.0,81.9,431,908,360736,238292,238352,0,5,236097,79.6
3.35,12.0,80.9,619,1394,361640,230977,231005,0,0,228299,80.6
3.90,13.0,80.0,686,1566,363876,227194,227203,0,22,223990,81.1
4.44,13.0,78.8,731,1850,365460,221274,221303,0,24,218497,83.1
4.98,12.0,77.8,804,2203,367628,217155,217162,0,0,214163,86.7
5.51,12.0,77.3,923,2430,373844,212119,212170,0,9,209972,87.1
6.05,14.0,79.6,1031,2688,380540,214472,214472,0,3,203990,87.6
6.59,14.0,78.4,1109,3022,381636,208061,208067,0,10,198306,88.3
7.13,12.0,79.0,1198,3273,382708,203980,203984,0,28,194520,89.5
7.68,12.0,78.3,1310,3595,384312,199449,199459,0,24,189992,91.3
8.21,13.0,77.8,1366,3881,386732,194450,194458,0,13,184993,92.6
8.74,13.0,75.8,1437,4210,391616,190460,190483,0,6,180964,96.4
9.29,14.0,84.4,1498,4597,404308,192129,192135,0,0,179802,105.2
9.84,12.0,80.0,1623,4893,407837,193688,193919,0,1,181319,110.8
10.38,12.0,79.2,1988,5195,414401,188085,188104,0,4,174413,114.5
10.92,13.0,78.3,1728,5432,423795,189436,189446,0,0,174398,120.1
11.49,13.0,85.8,1441,5807,439169,193826,193994,0,0,175004,129.6
12.06,12.0,81.8,1355,5829,450323,197697,197700,0,0,175112,130.9
12.64,12.0,81.8,1286,5999,449403,201868,201986,0,0,175017,135.2
13.21,13.0,81.8,1334,5825,439802,205381,205453,0,25,178132,136.0
13.74,13.0,81.7,1369,5283,424866,201574,201627,0,343,177771,131.4
14.26,13.0,75.0,1383,5036,416337,198643,198651,0,374,177726,124.4
14.77,13.0,74.2,1376,5019,412910,196166,196194,0,360,177712,116.7
15.29,13.0,73.8,1433,5003,412630,195418,195445,0,753,178532,116.9
15.82,13.0,76.8,1528,5170,414595,188523,188559,0,76,173417,117.1
16.35,13.0,77.7,1591,5334,421948,186703,186716,0,32,171488,118.6
16.88,14.0,77.2,1646,5451,426256,184795,184799,0,4,169974,119.8
17.40,14.0,75.8,1692,5627,430500,183164,183169,0,3,168363,120.3
17.93,13.0,75.0,1607,5775,428320,182043,182043,0,13,167529,122.5
18.45,13.0,75.0,1692,6026,428562,180418,180435,0,16,165770,127.4
18.99,13.0,80.6,1767,6189,428496,181226,181259,0,0,166711,135.2
19.52,13.0,75.8,1785,6369,425338,181138,181140,0,0,166503,138.7
20.04,13.0,75.0,1927,6566,424792,177784,177806,0,32,163581,141.5
20.55,13.0,75.0,2000,6632,426154,176914,176994,0,0,163213,143.2
21.08,14.0,75.0,2046,6641,428829,175540,175548,0,0,161014,142.9
21.58,14.0,73.6,2079,6617,431974,175788,175804,0,0,161005,141.2
22.08,14.0,72.2,2142,6738,443373,177067,177177,0,0,161285,142.2
22.65,14.0,85.3,2150,6514,457048,186154,186225,0,0,164513,142.9
23.20,13.0,80.6,2135,6568,455220,186860,186868,0,3,164419,143.5
23.74,12.0,79.2,2165,6765,458624,188448,188472,0,0,164868,148.9
