t,fps,worst_ms,draw_calls,mesh_blocks,data_blocks,q_total,q_mesh,q_gen,dropped_mesh,blocked_lod,vmem_mb
0.54,2.0,150.0,0,48,356048,285090,285466,0,0,287496,54.2
1.08,2.0,100.5,109,187,356048,268831,268848,0,0,272305,81.4
1.66,11.0,85.7,221,484,356048,258240,258260,0,0,259025,81.6
2.23,11.0,83.3,317,674,360672,253154,253206,0,83,250385,81.9
2.78,12.0,79.4,411,920,360736,242315,242322,0,0,240089,82.5
3.33,12.0,79.2,517,1395,361568,233241,233243,0,0,230338,83.2
3.90,12.0,84.4,517,1750,362244,229129,229169,0,26,226295,83.2
4.45,13.0,81.5,645,1955,365212,222114,222116,0,0,218430,85.7
5.00,13.0,79.2,645,2397,377100,221032,221040,0,0,215066,85.7
5.57,12.0,87.3,645,2749,401260,226889,227286,0,0,215018,85.7
6.08,12.0,88.0,805,2867,403904,226176,226285,0,655,212449,103.3
6.61,12.0,94.2,802,2993,411972,225691,225691,0,0,213387,110.4
7.15,12.0,94.7,800,3003,410556,225539,225606,0,204,212231,108.4
7.71,12.0,82.3,865,3197,401928,219415,219447,0,9,208281,106.1
8.27,12.0,80.0,1005,3260,390376,212148,212161,0,20,202639,105.2
8.82,12.0,79.2,1143,3456,387454,206910,206939,0,8,196871,102.5
9.36,12.0,77.8,1208,3543,393454,206190,206240,0,0,192078,102.5
9.91,13.0,79.3,1248,3713,393593,206052,206063,0,18,193198,102.3
10.44,13.0,77.8,1514,3766,395705,204790,204790,0,0,190069,102.2
10.97,13.0,77.3,1293,3808,395165,203600,203605,0,3,189986,102.5
11.47,14.0,74.7,996,4040,396233,200599,200612,0,32,187064,104.6
11.98,14.0,72.2,1034,4292,397873,196748,196751,0,14,183838,107.2
12.48,13.0,72.2,961,4585,399705,193110,193125,0,12,180072,110.3
13.00,13.0,80.0,1380,4632,401136,199709,199924,0,12,186817,114.0
13.53,14.0,77.1,1509,4869,402844,192223,192233,0,11,178724,115.2
14.03,14.0,75.0,1679,5121,404974,190163,190213,0,0,176741,120.0
14.58,13.0,84.7,1866,5461,408324,187846,187853,0,0,174468,125.9
15.12,13.0,77.8,1953,5590,412492,189229,189246,0,0,174740,131.1
15.66,13.0,77.8,2103,5927,418656,188906,188917,0,0,174500,135.9
16.19,13.0,76.7,2165,6222,429704,191676,191708,0,0,174915,142.0
16.72,13.0,76.5,1973,6391,446412,200571,200603,0,0,176177,150.7
17.26,13.0,82.6,1888,6534,456992,208492,208496,0,0,176740,152.0
17.82,13.0,85.2,1664,6763,460940,211747,211753,0,0,176390,161.3
18.37,13.0,79.2,1569,6840,458441,215754,215770,0,210,176513,163.5
18.94,13.0,84.8,1544,6775,458974,221056,221076,0,0,180091,168.6
19.51,12.0,82.8,1426,6828,456934,221061,221108,0,4,179850,168.3
20.08,12.0,82.8,1477,6968,463407,225694,225750,0,0,179983,171.4
20.59,12.0,87.7,1502,7043,464797,230169,230238,0,0,180063,174.1
21.10,12.0,85.4,1508,7019,459176,229111,229121,0,929,179645,177.2
21.68,12.0,84.0,1506,7130,458099,232021,232038,0,0,179776,179.2
22.18,12.0,88.2,1498,6921,460304,236029,236417,0,0,185307,181.6
22.71,12.0,92.6,1397,7007,461274,239571,239588,0,0,182592,179.1
23.21,12.0,86.7,1321,6988,462707,242460,242476,0,0,182952,178.1
23.79,12.0,83.3,1304,6879,460030,242161,242196,0,4,182408,178.3
