t,fps,worst_ms,draw_calls,mesh_blocks,data_blocks,q_total,q_mesh,q_gen,dropped_mesh,blocked_lod,vmem_mb
0.54,1.0,144.3,0,48,356048,285141,285474,0,0,287496,51.2
1.08,6.0,104.4,109,183,356048,267384,267521,0,0,271229,78.9
1.65,6.0,84.4,167,374,356048,258603,258603,0,0,258929,79.2
2.24,12.0,83.3,284,584,360672,249204,249302,0,137,247175,79.4
2.80,12.0,81.7,438,969,361424,240881,240906,0,36,239428,81.1
3.35,12.0,79.2,548,1350,363024,232960,232965,0,0,230771,82.8
3.89,13.0,79.1,603,1511,366132,230494,230517,0,0,227069,84.0
4.41,13.0,77.2,603,1739,367580,226271,226271,0,11,223912,84.5
4.94,13.0,80.7,616,2078,371444,222285,222288,0,0,219418,89.9
5.48,13.0,78.5,718,2480,377556,216441,216445,0,27,213967,92.7
6.03,13.0,79.9,896,2817,382900,217942,217970,0,10,208094,93.3
6.57,13.0,78.3,995,3135,384124,212150,212156,0,16,202621,94.3
7.11,13.0,79.0,1079,3316,384676,208477,208480,0,11,199310,94.9
7.63,13.0,75.0,1166,3631,386256,202903,202977,0,32,193757,96.9
8.16,13.0,75.0,1214,3898,387388,197480,197485,0,26,188358,97.2
8.67,13.0,75.0,1270,4111,388096,193220,193231,0,4,183792,97.2
9.18,14.0,74.2,1337,4256,394440,194817,194859,0,0,181518,98.8
9.75,14.0,72.2,1359,4425,396337,194206,194311,0,21,181410,99.5
10.31,14.0,71.3,1609,4711,396721,185876,185906,0,7,173334,101.1
10.88,14.0,70.8,1281,5020,398393,181334,181335,0,1,168336,102.4
11.42,14.0,69.0,1203,5088,402185,180986,180993,0,0,167373,103.2
11.96,15.0,68.8,1389,5092,402341,180223,180225,0,0,167288,103.2
12.49,15.0,66.7,1360,5132,404541,180393,180398,0,0,166974,103.6
13.04,14.0,70.3,1619,5026,404336,186920,187081,0,15,174549,103.6
13.60,14.0,72.4,1704,5330,405112,177511,177612,0,3,164911,105.1
14.17,15.0,76.0,1831,5771,410196,174340,174425,0,0,160499,111.6
14.68,15.0,77.5,1901,6122,411764,168378,168418,0,45,156189,115.4
15.24,14.0,72.2,1977,6134,411332,169093,169160,0,6,155356,117.5
15.79,14.0,69.7,2134,6466,410908,164155,164201,0,4,150789,120.0
16.33,14.0,68.8,2231,6747,412228,160607,160614,0,0,146875,122.1
16.85,15.0,66.7,2276,6823,413548,158726,158727,0,24,145638,122.4
17.39,15.0,66.7,2364,6994,414232,156096,156109,0,2,143133,123.2
17.92,15.0,67.3,2391,7152,415744,153572,153578,0,0,140686,123.9
18.44,15.0,65.3,2454,7357,417212,151505,151528,0,63,139271,127.1
18.97,15.0,66.8,2547,7294,418798,152913,152937,0,0,140320,128.8
19.50,15.0,66.7,2594,7512,420032,151371,151377,0,0,138995,131.2
20.03,16.0,66.7,2797,7768,423760,148220,148250,0,5,135446,134.2
20.59,16.0,77.7,2874,8023,428964,147049,147076,0,0,134588,140.3
21.14,14.0,69.4,2943,8220,434320,146262,146298,0,4,133972,143.5
21.69,14.0,69.4,2990,8312,440858,146986,147090,0,0,134005,147.1
22.27,15.0,84.0,3091,8192,463056,158159,158266,0,0,141158,151.1
22.80,15.0,77.9,3110,8409,469452,160835,160867,0,0,139580,155.1
23.32,13.0,75.8,3045,8531,468720,161601,161648,0,6,139600,158.0
23.85,13.0,75.5,3051,8807,477882,164175,164303,0,0,140078,164.6
