t,fps,worst_ms,draw_calls,mesh_blocks,data_blocks,q_total,q_mesh,q_gen,dropped_mesh,blocked_lod,vmem_mb
0.53,2.0,143.7,0,48,356048,285101,285473,0,0,287496,54.2
1.08,2.0,115.5,109,188,356048,268747,268753,0,0,271589,82.1
1.60,10.0,86.7,186,374,356048,258643,258668,0,0,260703,83.0
2.17,10.0,84.7,373,746,360672,252276,252287,0,113,249588,83.5
2.73,12.0,82.0,509,1003,360768,241976,242012,0,68,239459,84.2
3.28,12.0,80.0,688,1379,362400,233868,233868,0,0,231050,84.9
3.82,12.0,77.8,764,1640,363300,228663,228667,0,19,225761,85.2
4.36,13.0,77.3,836,2044,363652,221241,221241,0,36,219039,85.7
4.88,13.0,75.9,878,2341,365196,216153,216192,0,5,213245,87.8
5.40,14.0,75.0,988,2739,367412,208934,208962,0,0,205962,89.2
5.95,14.0,85.7,1103,2983,379748,212629,212661,0,0,201958,94.3
6.49,13.0,78.4,1135,3292,380376,208090,208090,0,4,197980,95.4
7.03,13.0,78.1,1298,3649,382932,201874,201902,0,9,192359,98.3
7.57,13.0,78.8,1343,4117,395888,202266,202329,0,0,189560,98.9
8.12,13.0,80.5,1382,4387,399508,197213,197224,0,29,188035,111.3
8.66,12.0,77.5,1478,4641,398140,192799,192833,0,7,183133,113.8
9.19,12.0,80.4,1556,4823,402190,193590,193678,0,14,181541,116.6
9.71,13.0,76.7,1707,5083,401693,192417,192571,0,10,179851,115.6
10.22,13.0,75.0,1995,5249,402225,184818,184824,0,22,172141,115.8
10.78,14.0,72.4,1699,5476,402205,180162,180175,0,0,166852,116.5
11.34,14.0,70.0,1335,5756,402141,174396,174402,0,46,162225,117.9
11.90,14.0,70.0,1579,6048,403211,169502,169513,0,47,157407,118.3
12.44,15.0,69.7,1389,6322,404924,165676,165678,0,0,152945,119.6
12.97,15.0,67.5,1844,6430,405979,164686,164700,0,0,152665,121.4
13.52,15.0,73.0,2024,6688,407637,160282,160313,0,25,148687,122.9
14.05,15.0,66.7,2155,6878,411396,159392,159394,0,0,146512,125.2
14.57,15.0,66.7,2155,7104,414463,159012,159014,0,0,146496,125.2
15.11,15.0,74.5,2424,7111,418378,160997,161036,0,0,147864,134.9
15.61,14.0,73.2,2520,7334,424407,160415,160424,0,26,147710,138.4
16.17,14.0,70.8,2519,7615,435224,162559,162575,0,0,147684,139.4
16.72,15.0,70.4,2519,7846,450800,171015,171035,0,0,148656,139.4
17.28,15.0,70.6,2519,7976,463036,176866,176897,0,0,149236,139.4
17.78,14.0,75.3,2300,8106,466414,179822,179834,0,0,148707,156.5
18.35,14.0,72.0,2169,8246,465148,182350,182375,0,204,148748,162.6
18.89,14.0,79.1,2170,8073,467444,190165,190220,0,0,150839,166.1
19.41,13.0,75.8,2110,8021,464168,190061,190067,0,7,150671,163.9
19.94,13.0,75.0,2127,8128,460915,190426,190533,0,82,150644,166.2
20.46,14.0,75.2,2148,8157,460326,193526,193833,0,385,154468,167.7
20.99,14.0,79.5,2157,8148,459068,188871,188895,0,436,150320,167.2
21.51,13.0,75.3,2214,8141,455512,188575,188627,0,296,150147,167.6
22.03,13.0,79.4,2266,8219,458818,187726,187831,0,128,150228,169.2
22.53,13.0,91.8,2287,7956,468250,196054,196063,0,0,154262,168.0
23.06,13.0,78.4,2313,7994,465738,195907,195920,0,0,154002,169.7
23.58,13.0,75.0,2328,8024,464426,196719,196796,0,17,154163,171.3
